account_id,customer_id,amount,status,type,date,branch,remarks,flag
A2000,C1000,,PENDING,LOAN,2021-05-22,B3,,Y
A2001,C1001,1935.98,PENDING,CURRENT,2023-03-13,B16,OK,N
A2002,C1002,45852.36,ACTIVE,LOAN,2023-12-21,B16,OK,N
A2003,C1003,671.18,PENDING,LOAN,2023-02-25,B15,OK,Y
A2004,C1004,29673.2,INACTIVE,SAVINGS,2024-09-17,B12,OK,N
A2005,C1005,21894.43,PENDING,LOAN,2023-09-18,B18,OK,N
A2006,C1006,42567.64,INACTIVE,CURRENT,2021-02-03,B6,OK,Y
A2007,C1007,22115.91,ACTIVE,CURRENT,2023-03-07,B11,OK,Y
A2008,C1008,28442.5,INACTIVE,SAVINGS,2023-03-25,B8,OK,Y
A2009,C1009,22210.94,ACTIVE,LOAN,2021-03-02,B13,OK,N
A2010,C1010,6175.82,INACTIVE,SAVINGS,2020-12-12,B11,OK,Y
A2011,C1011,9032.13,PENDING,LOAN,2022-12-21,B10,OK,Y
A2012,C1012,27723.79,INACTIVE,CURRENT,2022-07-26,B17,OK,N
A2013,C1013,8497.21,PENDING,LOAN,2025-05-10,B10,OK,Y
A2014,C1014,14133.97,ACTIVE,LOAN,2020-01-14,B11,OK,Y
A2015,C1015,21277.79,PENDING,LOAN,2022-11-16,B6,OK,N
A2016,C1016,22475.85,PENDING,CURRENT,2022-01-14,B7,OK,Y
A2017,C1017,4267.74,ACTIVE,SAVINGS,2023-01-07,B13,OK,Y
A2018,C1018,22174.94,ACTIVE,CURRENT,2022-07-08,B17,OK,Y
A2019,C1019,29361.84,PENDING,CURRENT,2022-09-27,B13,OK,N
A2020,C1020,45633.22,ACTIVE,LOAN,2021-07-13,B6,OK,Y
A2021,C1021,27826.07,PENDING,SAVINGS,2025-06-20,B18,OK,Y
A2022,C1022,22288.5,INACTIVE,CURRENT,2021-11-17,B4,OK,N
A2023,C1023,2699.12,INACTIVE,CURRENT,2025-03-20,B14,OK,N
A2024,C1024,16570.48,ACTIVE,SAVINGS,2022-04-01,B18,OK,N
A2025,C1025,44173.25,PENDING,LOAN,2024-10-19,B16,,Y
A2026,C1026,15982.12,INACTIVE,SAVINGS,2023-06-05,B7,OK,Y
A2027,C1027,39356.04,ACTIVE,CURRENT,2023-08-23,B5,OK,Y
A2028,C1028,34961.11,INACTIVE,SAVINGS,2022-07-17,B5,OK,N
A2029,C1029,28015.92,INACTIVE,CURRENT,2020-01-30,B13,OK,N
A2030,C1030,35839.75,INACTIVE,LOAN,2023-12-29,B10,OK,N
A2031,C1031,15664.17,INACTIVE,SAVINGS,2020-07-24,B16,OK,Y
A2032,C1032,22294.45,INACTIVE,SAVINGS,2023-01-07,B4,OK,N
A2033,C1033,15824.22,INACTIVE,LOAN,2023-02-18,B11,OK,N
A2034,C1034,28122.56,INACTIVE,CURRENT,2022-09-19,B13,OK,Y
A2035,C1035,8312.49,PENDING,SAVINGS,2024-10-24,B20,OK,Y
A2036,C1036,2590.91,INACTIVE,LOAN,2024-04-04,B2,OK,N
A2037,C1037,20993.31,ACTIVE,CURRENT,2022-01-06,B12,OK,N
A2038,C1038,10463.31,INACTIVE,SAVINGS,2021-10-04,B13,OK,N
A2039,C1039,33494.43,ACTIVE,SAVINGS,2022-03-07,B12,OK,Y
A2040,C1040,,ACTIVE,SAVINGS,2024-08-12,B20,OK,N
A2041,C1041,19240.73,PENDING,CURRENT,2020-07-15,B14,OK,Y
A2042,C1042,40416.47,ACTIVE,CURRENT,2025-05-03,B5,OK,Y
A2043,C1043,26685.37,PENDING,SAVINGS,2024-03-23,B11,OK,Y
A2044,C1044,18785.77,INACTIVE,LOAN,2024-11-19,B17,OK,N
A2045,C1045,47110.95,ACTIVE,SAVINGS,2020-11-20,B6,OK,Y
A2046,C1046,48207.99,ACTIVE,SAVINGS,2022-06-24,B19,OK,Y
A2047,C1047,21570.11,INACTIVE,LOAN,2024-06-13,B11,OK,Y
A2048,C1048,1046.31,ACTIVE,SAVINGS,2021-04-26,B16,OK,N
A2049,C1049,1722.85,PENDING,SAVINGS,2020-09-30,B18,OK,N
A2050,C1050,28244.88,ACTIVE,SAVINGS,2022-01-08,B5,,N
A2051,C1051,44683.19,INACTIVE,SAVINGS,2022-02-24,B16,OK,Y
A2052,C1052,26456.56,ACTIVE,LOAN,2021-05-08,B7,OK,Y
A2053,C1053,36126.2,INACTIVE,SAVINGS,2021-06-30,B17,OK,Y
A2054,C1054,3603.14,ACTIVE,SAVINGS,2024-11-10,B13,OK,N
A2055,C1055,5248.83,PENDING,LOAN,2022-12-06,B16,OK,N
A2056,C1056,7144.43,INACTIVE,LOAN,2021-12-15,B13,OK,N
A2057,C1057,21815.58,PENDING,SAVINGS,2021-02-04,B3,OK,Y
A2058,C1058,11907.71,ACTIVE,SAVINGS,2023-10-03,B13,OK,N
A2059,C1059,39227.1,INACTIVE,LOAN,2020-07-14,B2,OK,Y
A2060,C1060,40755.64,PENDING,SAVINGS,2020-03-31,B14,OK,N
A2061,C1061,20778.14,ACTIVE,LOAN,2024-04-29,B12,OK,N
A2062,C1062,38950.07,PENDING,LOAN,2020-04-06,B17,OK,N
A2063,C1063,6470.01,PENDING,CURRENT,2023-04-12,B2,OK,N
A2064,C1064,5870.21,ACTIVE,LOAN,2023-08-02,B4,OK,N
A2065,C1065,47542.59,ACTIVE,CURRENT,2020-09-23,B5,OK,N
A2066,C1066,1247.43,PENDING,SAVINGS,2022-09-16,B3,OK,N
A2067,C1067,4601.91,PENDING,LOAN,2022-10-23,B4,OK,Y
A2068,C1068,26938.81,PENDING,LOAN,2025-04-17,B13,OK,N
A2069,C1069,12097.24,PENDING,CURRENT,2022-09-05,B11,OK,N
A2070,C1070,5848.27,ACTIVE,LOAN,2023-06-05,B12,OK,Y
A2071,C1071,4817.81,ACTIVE,SAVINGS,2020-08-15,B19,OK,Y
A2072,C1072,189.54,INACTIVE,SAVINGS,2020-07-06,B10,OK,N
A2073,C1073,30571.87,PENDING,CURRENT,2023-02-21,B10,OK,N
A2074,C1074,31404.59,PENDING,LOAN,2020-02-29,B9,OK,N
A2075,C1075,21899.95,INACTIVE,CURRENT,2024-05-05,B16,,N
A2076,C1076,26705.43,INACTIVE,LOAN,2020-12-21,B15,OK,N
A2077,C1077,14792.24,PENDING,SAVINGS,2021-10-19,B17,OK,N
A2078,C1078,37990.3,PENDING,LOAN,2022-04-27,B18,OK,N
A2079,C1079,23875.44,PENDING,SAVINGS,2021-09-19,B1,OK,Y
A2080,C1080,,ACTIVE,CURRENT,2025-06-15,B4,OK,N
A2081,C1081,12966.06,INACTIVE,LOAN,2024-12-05,B10,OK,Y
