atm_txn_id,customer_id,account_id,amount,status,type,date,branch,remarks,flag
AT1,C1000,A2000,,ACTIVE,LOAN,2023-01-29,B3,,Y
AT2,C1001,A2001,11869.98,PENDING,LOAN,2025-02-24,B3,OK,Y
AT3,C1002,A2002,937.15,INACTIVE,SAVINGS,2024-12-25,B3,OK,N
AT4,C1003,A2003,22370.03,ACTIVE,LOAN,2023-04-12,B20,OK,Y
AT5,C1004,A2004,39147.46,ACTIVE,CURRENT,2022-08-17,B16,OK,Y
AT6,C1005,A2005,412.73,ACTIVE,CURRENT,2024-05-08,B14,OK,Y
AT7,C1006,A2006,46745.25,INACTIVE,CURRENT,2021-01-22,B11,OK,Y
AT8,C1007,A2007,36743.15,PENDING,SAVINGS,2024-03-26,B4,OK,Y
AT9,C1008,A2008,8695.73,PENDING,SAVINGS,2024-02-17,B17,OK,N
AT10,C1009,A2009,46412.78,INACTIVE,LOAN,2023-08-16,B10,OK,Y
AT11,C1010,A2010,24197.79,PENDING,CURRENT,2025-05-27,B12,OK,N
AT12,C1011,A2011,13568.3,PENDING,LOAN,2020-10-20,B10,OK,N
AT13,C1012,A2012,7879.7,PENDING,CURRENT,2022-01-17,B10,OK,N
AT14,C1013,A2013,28167.76,ACTIVE,SAVINGS,2020-09-07,B9,OK,N
AT15,C1014,A2014,49012.24,PENDING,LOAN,2023-05-21,B15,OK,Y
AT16,C1015,A2015,1847.23,PENDING,CURRENT,2021-11-04,B3,OK,Y
AT17,C1016,A2016,18503.87,ACTIVE,CURRENT,2024-02-18,B19,OK,Y
AT18,C1017,A2017,29985.4,PENDING,CURRENT,2025-06-21,B4,OK,Y
AT19,C1018,A2018,4177.61,PENDING,SAVINGS,2024-01-21,B10,OK,Y
AT20,C1019,A2019,22068.35,INACTIVE,SAVINGS,2024-07-28,B2,OK,Y
AT21,C1020,A2020,13406.6,ACTIVE,CURRENT,2020-05-02,B12,OK,N
AT22,C1021,A2021,17917.87,PENDING,SAVINGS,2025-01-10,B9,OK,Y
AT23,C1022,A2022,25881.19,INACTIVE,SAVINGS,2023-12-24,B10,OK,Y
AT24,C1023,A2023,4731.16,INACTIVE,SAVINGS,2021-04-07,B9,OK,Y
AT25,C1024,A2024,48499.25,INACTIVE,SAVINGS,2022-08-11,B2,OK,N
AT26,C1025,A2025,40491.44,ACTIVE,LOAN,2022-07-21,B18,,Y
AT27,C1026,A2026,29598.23,INACTIVE,LOAN,2022-09-20,B8,OK,Y
AT28,C1027,A2027,33831.43,INACTIVE,LOAN,2021-01-15,B11,OK,N
AT29,C1028,A2028,27342.02,PENDING,LOAN,2020-05-03,B1,OK,Y
AT30,C1029,A2029,17396.31,ACTIVE,CURRENT,2024-08-27,B2,OK,Y
AT31,C1030,A2030,4773.1,INACTIVE,LOAN,2021-06-02,B11,OK,N
AT32,C1031,A2031,40311.4,INACTIVE,CURRENT,2025-04-18,B16,OK,Y
AT33,C1032,A2032,6658.49,PENDING,CURRENT,2025-05-28,B6,OK,Y
AT34,C1033,A2033,45446.97,PENDING,LOAN,2025-05-11,B12,OK,Y
AT35,C1034,A2034,9269.78,ACTIVE,LOAN,2022-06-12,B20,OK,N
AT36,C1035,A2035,26701.1,INACTIVE,CURRENT,2021-04-29,B11,OK,N
AT37,C1036,A2036,38486.01,PENDING,SAVINGS,2021-02-14,B16,OK,Y
