branch_id,customer_id,account_id,amount,status,type,date,branch,remarks,flag
BR1,C1000,A2000,,PENDING,CURRENT,2021-12-14,B10,,N
BR2,C1001,A2001,34922.56,PENDING,CURRENT,2023-04-05,B17,OK,N
BR3,C1002,A2002,47122.5,ACTIVE,LOAN,2021-12-11,B11,OK,N
BR4,C1003,A2003,3211.45,ACTIVE,SAVINGS,2020-03-11,B3,OK,Y
BR5,C1004,A2004,19624.17,INACTIVE,SAVINGS,2020-07-29,B8,OK,Y
BR6,C1005,A2005,28895.81,ACTIVE,CURRENT,2025-05-28,B8,OK,N
BR7,C1006,A2006,5799.4,INACTIVE,SAVINGS,2021-06-11,B17,OK,Y
BR8,C1007,A2007,9772.3,ACTIVE,CURRENT,2021-05-30,B14,OK,Y
BR9,C1008,A2008,28124.52,INACTIVE,LOAN,2020-02-08,B17,OK,N
BR10,C1009,A2009,18157.2,INACTIVE,SAVINGS,2023-06-28,B13,OK,N
BR11,C1010,A2010,13950.2,INACTIVE,LOAN,2024-08-31,B15,OK,Y
BR12,C1011,A2011,35280.69,INACTIVE,CURRENT,2023-11-17,B12,OK,N
BR13,C1012,A2012,47431.25,ACTIVE,CURRENT,2023-11-08,B1,OK,N
BR14,C1013,A2013,46706.45,PENDING,LOAN,2024-02-10,B3,OK,N
BR15,C1014,A2014,44943.19,PENDING,CURRENT,2025-02-08,B7,OK,N
BR16,C1015,A2015,25423.02,PENDING,CURRENT,2021-02-11,B9,OK,N
BR17,C1016,A2016,33659.99,ACTIVE,SAVINGS,2023-01-28,B8,OK,N
BR18,C1017,A2017,32084.55,ACTIVE,SAVINGS,2022-10-30,B5,OK,Y
BR19,C1018,A2018,28066.05,INACTIVE,SAVINGS,2020-10-03,B5,OK,Y
BR20,C1019,A2019,40072.53,ACTIVE,CURRENT,2022-08-01,B11,OK,N
BR21,C1020,A2020,4259.93,PENDING,SAVINGS,2021-05-11,B15,OK,Y
BR22,C1021,A2021,41751.52,PENDING,LOAN,2025-02-05,B10,OK,Y
BR23,C1022,A2022,45143.95,ACTIVE,CURRENT,2023-01-31,B13,OK,Y
BR24,C1023,A2023,20573.22,ACTIVE,LOAN,2023-05-01,B20,OK,N
BR25,C1024,A2024,27334.05,PENDING,SAVINGS,2021-07-27,B2,OK,N
BR26,C1025,A2025,10276.73,PENDING,CURRENT,2022-06-06,B8,,N
BR27,C1026,A2026,11442.21,ACTIVE,SAVINGS,2021-10-04,B7,OK,Y
BR28,C1027,A2027,30300.86,INACTIVE,CURRENT,2021-09-04,B17,OK,N
BR29,C1028,A2028,18135.35,ACTIVE,LOAN,2022-05-24,B18,OK,Y
BR30,C1029,A2029,5539.71,PENDING,LOAN,2022-02-07,B16,OK,N
BR31,C1030,A2030,36424.04,ACTIVE,SAVINGS,2020-04-07,B20,OK,N
BR32,C1031,A2031,7246.18,PENDING,CURRENT,2020-12-27,B16,OK,Y
BR33,C1032,A2032,27556.87,ACTIVE,SAVINGS,2024-05-14,B5,OK,Y
BR34,C1033,A2033,46221.16,ACTIVE,SAVINGS,2022-08-13,B13,OK,N
BR35,C1034,A2034,31543.16,PENDING,CURRENT,2021-09-13,B18,OK,N
BR36,C1035,A2035,22755.17,PENDING,SAVINGS,2025-03-13,B17,OK,N
BR37,C1036,A2036,43710.13,INACTIVE,CURRENT,2021-10-04,B18,OK,N
BR38,C1037,A2037,43907.0,PENDING,SAVINGS,2020-04-26,B3,OK,Y
BR39,C1038,A2038,44293.18,INACTIVE,CURRENT,2024-10-17,B2,OK,N
BR40,C1039,A2039,24232.77,INACTIVE,CURRENT,2022-10-31,B16,OK,N
BR41,C1040,A2040,,PENDING,SAVINGS,2022-10-01,B8,OK,Y
BR42,C1041,A2041,33942.83,INACTIVE,CURRENT,2024-03-29,B5,OK,N
BR43,C1042,A2042,12741.66,PENDING,LOAN,2022-03-19,B14,OK,N
BR44,C1043,A2043,13991.76,INACTIVE,CURRENT,2024-11-27,B19,OK,Y
BR45,C1044,A2044,17990.11,INACTIVE,CURRENT,2020-06-04,B6,OK,N
BR46,C1045,A2045,15918.74,PENDING,CURRENT,2023-10-19,B11,OK,N
BR47,C1046,A2046,33954.31,INACTIVE,SAVINGS,2021-02-09,B17,OK,N
BR48,C1047,A2047,23330.33,INACTIVE,LOAN,2022-03-07,B17,OK,Y
BR49,C1048,A2048,39305.1,PENDING,SAVINGS,2023-04-14,B7,OK,Y
BR50,C1049,A2049,25915.61,INACTIVE,SAVINGS,2020-04-22,B7,OK,N
BR51,C1050,A2050,8491.45,PENDING,CURRENT,2020-03-01,B5,,N
BR52,C1051,A2051,33542.39,ACTIVE,SAVINGS,2023-01-01,B10,OK,Y
BR53,C1052,A2052,3477.21,INACTIVE,LOAN,2025-02-24,B8,OK,N
BR54,C1053,A2053,6775.25,PENDING,CURRENT,2024-02-03,B13,OK,Y
BR55,C1054,A2054,43082.48,ACTIVE,LOAN,2020-02-20,B1,OK,N
BR56,C1055,A2055,3860.13,PENDING,CURRENT,2025-04-11,B19,OK,Y
BR57,C1056,A2056,17073.86,INACTIVE,CURRENT,2022-12-06,B11,OK,Y
BR58,C1057,A2057,27368.14,ACTIVE,SAVINGS,2025-06-09,B16,OK,N
BR59,C1058,A2058,37063.62,INACTIVE,LOAN,2022-08-23,B12,OK,Y
BR60,C1059,A2059,39613.4,INACTIVE,CURRENT,2022-12-29,B7,OK,N
BR61,C1060,A2060,29658.47,ACTIVE,LOAN,2023-01-04,B17,OK,Y
BR62,C1061,A2061,14783.88,ACTIVE,LOAN,2021-07-28,B8,OK,Y
BR63,C1062,A2062,18900.27,ACTIVE,SAVINGS,2022-01-12,B7,OK,N
BR64,C1063,A2063,15304.15,ACTIVE,LOAN,2023-02-19,B20,OK,N
BR65,C1064,A2064,19561.87,PENDING,LOAN,2020-01-11,B14,OK,Y
BR66,C1065,A2065,25336.79,INACTIVE,CURRENT,2024-02-10,B1,OK,N
BR67,C1066,A2066,40183.63,PENDING,LOAN,2020-09-25,B8,OK,Y
BR68,C1067,A2067,47177.45,PENDING,LOAN,2020-06-30,B20,OK,Y
BR69,C1068,A2068,37495.03,INACTIVE,LOAN,2024-05-22,B18,OK,N
BR70,C1069,A2069,18843.57,PENDING,LOAN,2022-12-26,B16,OK,Y
BR71,C1070,A2070,42776.07,PENDING,CURRENT,2020-05-20,B11,OK,Y
BR72,C1071,A2071,14033.52,PENDING,SAVINGS,2023-09-25,B17,OK,Y
BR73,C1072,A2072,33625.07,PENDING,SAVINGS,2023-07-07,B1,OK,Y
BR74,C1073,A2073,30931.66,PENDING,CURRENT,2021-05-19,B1,OK,N
BR75,C1074,A2074,46827.62,PENDING,CURRENT,2020-10-05,B11,OK,Y
BR76,C1075,A2075,4408.97,ACTIVE,CURRENT,2022-02-11,B16,,Y
BR77,C1076,A2076,21261.78,INACTIVE,CURRENT,2024-05-06,B14,OK,Y
BR78,C1077,A2077,18267.07,ACTIVE,LOAN,2020-09-04,B2,OK,N
BR79,C1078,A2078,13587.13,PENDING,CURRENT,2023-12-12,B7,OK,Y
BR80,C1079,A2079,8730.92,PENDING,SAVINGS,2022-08-22,B17,OK,N
BR81,C1080,A2080,,PENDING,SAVINGS,2020-06-01,B13,OK,N
BR82,C1081,A2081,41984.04,ACTIVE,CURRENT,2023-10-22,B15,OK,Y
BR83,C1082,A2082,12710.35,PENDING,LOAN,2024-06-27,B12,OK,Y
