card_id,customer_id,account_id,amount,status,type,date,branch,remarks,flag
CA1,C1000,A2000,,PENDING,SAVINGS,2024-04-30,B20,,N
CA2,C1001,A2001,11086.33,INACTIVE,SAVINGS,2022-06-11,B12,OK,N
CA3,C1002,A2002,22359.2,PENDING,CURRENT,2023-05-25,B4,OK,N
CA4,C1003,A2003,569.14,PENDING,LOAN,2023-09-06,B14,OK,Y
CA5,C1004,A2004,39194.01,INACTIVE,LOAN,2020-04-25,B15,OK,N
CA6,C1005,A2005,17019.46,PENDING,LOAN,2022-06-30,B16,OK,N
CA7,C1006,A2006,45909.66,INACTIVE,LOAN,2024-02-02,B16,OK,Y
CA8,C1007,A2007,47906.67,PENDING,SAVINGS,2020-09-17,B11,OK,Y
CA9,C1008,A2008,46936.23,ACTIVE,SAVINGS,2021-05-24,B11,OK,N
CA10,C1009,A2009,33029.47,INACTIVE,CURRENT,2024-01-30,B7,OK,Y
CA11,C1010,A2010,6176.85,INACTIVE,CURRENT,2023-07-07,B14,OK,N
CA12,C1011,A2011,46204.86,ACTIVE,SAVINGS,2024-07-10,B9,OK,N
CA13,C1012,A2012,44394.97,ACTIVE,SAVINGS,2023-11-01,B2,OK,N
CA14,C1013,A2013,26019.52,ACTIVE,LOAN,2025-01-04,B15,OK,N
CA15,C1014,A2014,29021.21,ACTIVE,LOAN,2024-11-27,B8,OK,N
CA16,C1015,A2015,32935.39,INACTIVE,SAVINGS,2024-09-13,B6,OK,N
CA17,C1016,A2016,12502.26,ACTIVE,SAVINGS,2022-08-17,B16,OK,N
CA18,C1017,A2017,33120.25,ACTIVE,LOAN,2021-11-28,B13,OK,Y
CA19,C1018,A2018,18494.08,ACTIVE,CURRENT,2024-04-14,B16,OK,Y
CA20,C1019,A2019,24785.78,PENDING,SAVINGS,2020-05-12,B5,OK,Y
CA21,C1020,A2020,22013.74,ACTIVE,CURRENT,2023-11-28,B9,OK,Y
CA22,C1021,A2021,7814.81,PENDING,LOAN,2023-08-14,B12,OK,N
CA23,C1022,A2022,24518.66,ACTIVE,CURRENT,2024-06-05,B11,OK,N
CA24,C1023,A2023,9941.32,PENDING,CURRENT,2022-06-22,B18,OK,Y
CA25,C1024,A2024,330.07,INACTIVE,LOAN,2020-06-20,B2,OK,Y
CA26,C1025,A2025,30159.87,PENDING,CURRENT,2022-03-08,B8,,N
CA27,C1026,A2026,24746.26,PENDING,CURRENT,2021-05-02,B1,OK,Y
CA28,C1027,A2027,32294.48,ACTIVE,CURRENT,2021-01-16,B19,OK,Y
CA29,C1028,A2028,46498.23,ACTIVE,CURRENT,2023-08-05,B17,OK,Y
CA30,C1029,A2029,35149.41,INACTIVE,SAVINGS,2025-01-25,B19,OK,Y
CA31,C1030,A2030,44128.69,PENDING,SAVINGS,2023-03-08,B13,OK,Y
CA32,C1031,A2031,37655.84,INACTIVE,LOAN,2025-05-06,B9,OK,N
CA33,C1032,A2032,18676.84,PENDING,LOAN,2021-05-24,B2,OK,Y
CA34,C1033,A2033,39706.84,INACTIVE,LOAN,2024-07-29,B5,OK,N
CA35,C1034,A2034,48327.41,PENDING,CURRENT,2020-10-23,B8,OK,Y
CA36,C1035,A2035,10772.62,INACTIVE,SAVINGS,2023-05-13,B20,OK,N
CA37,C1036,A2036,6252.79,INACTIVE,LOAN,2023-05-17,B5,OK,N
CA38,C1037,A2037,7158.39,INACTIVE,CURRENT,2025-02-18,B13,OK,Y
CA39,C1038,A2038,22987.95,PENDING,CURRENT,2022-06-09,B20,OK,N
CA40,C1039,A2039,1763.33,PENDING,CURRENT,2021-09-07,B8,OK,Y
CA41,C1040,A2040,,PENDING,LOAN,2020-04-07,B17,OK,Y
CA42,C1041,A2041,32327.4,INACTIVE,SAVINGS,2025-01-24,B4,OK,N
CA43,C1042,A2042,24360.97,ACTIVE,LOAN,2020-02-03,B7,OK,Y
CA44,C1043,A2043,40696.54,INACTIVE,SAVINGS,2021-03-11,B8,OK,Y
CA45,C1044,A2044,39749.01,INACTIVE,SAVINGS,2021-04-21,B19,OK,Y
CA46,C1045,A2045,17369.68,INACTIVE,SAVINGS,2020-12-19,B3,OK,N
CA47,C1046,A2046,39342.25,PENDING,CURRENT,2020-03-14,B9,OK,N
CA48,C1047,A2047,1059.0,ACTIVE,SAVINGS,2025-03-05,B17,OK,Y
CA49,C1048,A2048,20695.9,INACTIVE,LOAN,2021-01-16,B16,OK,N
CA50,C1049,A2049,16557.22,ACTIVE,SAVINGS,2023-05-10,B19,OK,N
CA51,C1050,A2050,2607.13,ACTIVE,SAVINGS,2025-06-21,B15,,N
CA52,C1051,A2051,21623.84,ACTIVE,LOAN,2020-05-03,B19,OK,N
CA53,C1052,A2052,7225.81,INACTIVE,LOAN,2020-04-26,B12,OK,N
CA54,C1053,A2053,43285.36,INACTIVE,SAVINGS,2025-03-15,B2,OK,N
CA55,C1054,A2054,21920.52,INACTIVE,SAVINGS,2022-09-17,B2,OK,N
CA56,C1055,A2055,49339.1,INACTIVE,LOAN,2024-10-11,B10,OK,N
CA57,C1056,A2056,14145.78,INACTIVE,LOAN,2023-11-03,B9,OK,Y
CA58,C1057,A2057,19484.7,ACTIVE,LOAN,2020-03-16,B7,OK,Y
CA59,C1058,A2058,4963.45,ACTIVE,CURRENT,2024-03-13,B7,OK,N
CA60,C1059,A2059,36460.79,PENDING,CURRENT,2020-05-05,B11,OK,Y
CA61,C1060,A2060,3511.62,PENDING,LOAN,2024-04-14,B1,OK,N
CA62,C1061,A2061,27901.45,PENDING,SAVINGS,2020-09-14,B14,OK,Y
CA63,C1062,A2062,36524.98,INACTIVE,LOAN,2022-04-21,B5,OK,Y
CA64,C1063,A2063,9854.42,INACTIVE,CURRENT,2021-09-18,B11,OK,N
CA65,C1064,A2064,7836.78,PENDING,LOAN,2021-06-20,B20,OK,Y
CA66,C1065,A2065,7133.15,ACTIVE,SAVINGS,2022-07-02,B3,OK,N
CA67,C1066,A2066,14481.64,PENDING,LOAN,2021-01-01,B16,OK,Y
CA68,C1067,A2067,45436.31,ACTIVE,LOAN,2021-09-22,B18,OK,N
CA69,C1068,A2068,5566.72,PENDING,LOAN,2021-01-04,B17,OK,Y
CA70,C1069,A2069,17831.03,PENDING,LOAN,2020-05-08,B20,OK,Y
CA71,C1070,A2070,41853.31,PENDING,SAVINGS,2022-11-13,B1,OK,Y
CA72,C1071,A2071,21336.66,INACTIVE,SAVINGS,2024-12-25,B14,OK,Y
CA73,C1072,A2072,4559.97,ACTIVE,CURRENT,2022-11-20,B13,OK,N
CA74,C1073,A2073,43996.07,PENDING,SAVINGS,2020-01-03,B15,OK,Y
CA75,C1074,A2074,31674.41,ACTIVE,SAVINGS,2022-10-27,B5,OK,Y
CA76,C1075,A2075,4210.26,INACTIVE,SAVINGS,2020-05-10,B10,,Y
CA77,C1076,A2076,41358.2,INACTIVE,SAVINGS,2020-03-09,B20,OK,Y
CA78,C1077,A2077,27875.86,INACTIVE,SAVINGS,2020-12-28,B5,OK,Y
CA79,C1078,A2078,45234.19,INACTIVE,SAVINGS,2020-12-10,B10,OK,N
CA80,C1079,A2079,7897.48,INACTIVE,CURRENT,2022-12-15,B13,OK,N
CA81,C1080,A2080,,INACTIVE,LOAN,2021-08-04,B15,OK,N
CA82,C1081,A2081,1042.26,INACTIVE,CURRENT,2024-09-05,B6,OK,N
CA83,C1082,A2082,20357.26,INACTIVE,CURRENT,2022-11-19,B2,OK,Y
CA84,C1083,A2083,49433.54,INACTIVE,SAVINGS,2020-05-02,B4,OK,N
CA85,C1084,A2084,29280.29,INACTIVE,CURRENT,2023-02-03,B12,OK,N
CA86,C1085,A2085,33448.01,INACTIVE,LOAN,2022-05-26,B11,OK,N
CA87,C1086,A2086,32090.37,INACTIVE,SAVINGS,2023-03-24,B16,OK,Y
CA88,C1087,A2087,49840.41,PENDING,LOAN,2021-11-29,B10,OK,Y
CA89,C1088,A2088,35450.77,INACTIVE,SAVINGS,2022-04-27,B17,OK,N
CA90,C1089,A2089,33301.35,ACTIVE,LOAN,2021-01-30,B11,OK,Y
CA91,C1090,A2090,4082.7,PENDING,LOAN,2024-01-08,B2,OK,N
CA92,C1091,A2091,16090.03,PENDING,LOAN,2021-06-27,B3,OK,Y
CA93,C1092,A2092,32019.34,ACTIVE,SAVINGS,2021-06-29,B18,OK,Y
CA94,C1093,A2093,48897.09,PENDING,SAVINGS,2025-01-17,B18,OK,N
CA95,C1094,A2094,8209.05,ACTIVE,SAVINGS,2021-05-29,B20,OK,N
CA96,C1095,A2095,20774.32,PENDING,CURRENT,2024-10-10,B14,OK,Y
CA97,C1096,A2096,30566.62,INACTIVE,SAVINGS,2020-06-27,B7,OK,Y
CA98,C1097,A2097,25164.22,PENDING,LOAN,2024-11-18,B7,OK,Y
CA99,C1098,A2098,44641.22,INACTIVE,LOAN,2023-04-12,B17,OK,Y
CA100,C1099,A2099,46188.06,ACTIVE,LOAN,2022-10-21,B15,OK,Y
CA101,C1100,A2100,37213.29,INACTIVE,CURRENT,2022-08-03,B7,,Y
CA102,C1101,A2101,28966.33,ACTIVE,SAVINGS,2023-10-09,B20,OK,Y
CA103,C1102,A2102,38820.99,INACTIVE,SAVINGS,2021-08-28,B5,OK,N
CA104,C1103,A2103,18626.16,ACTIVE,SAVINGS,2020-07-04,B11,OK,Y
CA105,C1104,A2104,4255.42,ACTIVE,CURRENT,2020-12-11,B4,OK,Y
CA106,C1105,A2105,35756.64,INACTIVE,SAVINGS,2022-09-05,B4,OK,Y
CA107,C1106,A2106,23540.61,PENDING,LOAN,2021-12-21,B14,OK,N
CA108,C1107,A2107,16318.3,INACTIVE,SAVINGS,2022-01-10,B17,OK,N
CA109,C1108,A2108,22348.88,ACTIVE,SAVINGS,2020-10-01,B4,OK,Y
CA110,C1109,A2109,15125.98,PENDING,CURRENT,2025-04-16,B8,OK,Y
CA111,C1110,A2110,48339.56,INACTIVE,SAVINGS,2023-04-09,B11,OK,Y
CA112,C1111,A2111,37624.31,ACTIVE,CURRENT,2023-03-10,B17,OK,N
CA113,C1112,A2112,46915.17,INACTIVE,CURRENT,2024-05-14,B3,OK,N
CA114,C1113,A2113,31265.56,INACTIVE,SAVINGS,2022-02-24,B7,OK,N
CA115,C1114,A2114,1904.16,ACTIVE,LOAN,2022-03-19,B1,OK,N
CA116,C1115,A2115,24618.05,INACTIVE,CURRENT,2021-03-11,B13,OK,N
CA117,C1116,A2116,4456.45,ACTIVE,SAVINGS,2024-10-18,B16,OK,N
CA118,C1117,A2117,15826.61,INACTIVE,LOAN,2020-10-22,B6,OK,Y
CA119,C1118,A2118,25640.98,PENDING,LOAN,2022-11-13,B2,OK,N
CA120,C1119,A2119,40547.91,ACTIVE,CURRENT,2021-11-11,B10,OK,N
CA121,C1120,A2120,,INACTIVE,LOAN,2024-04-23,B8,OK,Y
CA122,C1121,A2121,30833.96,ACTIVE,LOAN,2023-04-02,B9,OK,N
CA123,C1122,A2122,7021.17,ACTIVE,SAVINGS,2021-11-20,B4,OK,N
CA124,C1123,A2123,49355.21,ACTIVE,SAVINGS,2023-08-21,B19,OK,Y
CA125,C1124,A2124,35696.52,INACTIVE,LOAN,2023-11-13,B6,OK,Y
CA126,C1125,A2125,4649.25,INACTIVE,CURRENT,2020-09-25,B16,,Y
CA127,C1126,A2126,21219.64,INACTIVE,SAVINGS,2022-02-13,B3,OK,N
CA128,C1127,A2127,40146.32,PENDING,CURRENT,2024-10-03,B1,OK,N
CA129,C1128,A2128,43783.11,ACTIVE,CURRENT,2024-08-31,B6,OK,Y
CA130,C1129,A2129,13371.69,ACTIVE,CURRENT,2023-09-27,B12,OK,Y
CA131,C1130,A2130,5566.07,ACTIVE,CURRENT,2021-07-20,B7,OK,Y
CA132,C1131,A2131,22464.45,ACTIVE,LOAN,2020-06-01,B3,OK,N
CA133,C1132,A2132,20320.51,PENDING,LOAN,2025-03-18,B15,OK,Y
CA134,C1133,A2133,41305.83,INACTIVE,LOAN,2024-01-12,B9,OK,Y
CA135,C1134,A2134,47165.89,INACTIVE,SAVINGS,2023-07-11,B12,OK,N
CA136,C1135,A2135,17370.83,ACTIVE,SAVINGS,2021-10-14,B4,OK,Y
CA137,C1136,A2136,22527.33,INACTIVE,CURRENT,2024-05-01,B18,OK,Y
CA138,C1137,A2137,12439.42,INACTIVE,SAVINGS,2021-12-23,B9,OK,N
CA139,C1138,A2138,6199.2,ACTIVE,LOAN,2024-01-08,B13,OK,N
CA140,C1139,A2139,24568.15,ACTIVE,CURRENT,2020-06-16,B20,OK,N
CA141,C1140,A2140,12295.32,PENDING,LOAN,2022-05-03,B18,OK,N
CA142,C1141,A2141,19941.25,ACTIVE,SAVINGS,2021-01-29,B1,OK,Y
CA143,C1142,A2142,17319.53,ACTIVE,CURRENT,2021-10-19,B3,OK,Y
CA144,C1143,A2143,2493.31,PENDING,CURRENT,2022-11-05,B7,OK,Y
CA145,C1144,A2144,27140.94,ACTIVE,CURRENT,2025-04-03,B17,OK,N
CA146,C1145,A2145,10891.86,ACTIVE,CURRENT,2020-09-06,B7,OK,Y
CA147,C1146,A2146,48667.52,INACTIVE,LOAN,2022-02-06,B19,OK,Y
CA148,C1147,A2147,49116.7,INACTIVE,SAVINGS,2021-02-07,B11,OK,Y
CA149,C1148,A2148,17538.37,ACTIVE,SAVINGS,2024-08-14,B19,OK,Y
CA150,C1149,A2149,945.23,INACTIVE,CURRENT,2025-02-27,B18,OK,Y
CA151,C1150,A2150,40374.59,ACTIVE,CURRENT,2022-07-21,B6,,N
CA152,C1151,A2151,40171.14,PENDING,SAVINGS,2020-01-19,B5,OK,N
CA153,C1152,A2152,23874.51,INACTIVE,LOAN,2023-08-14,B18,OK,Y
CA154,C1153,A2153,37377.13,ACTIVE,SAVINGS,2020-05-27,B1,OK,N
CA155,C1154,A2154,39671.69,ACTIVE,SAVINGS,2024-12-15,B2,OK,N
CA156,C1155,A2155,16129.25,ACTIVE,SAVINGS,2023-01-16,B5,OK,Y
CA157,C1156,A2156,40628.65,INACTIVE,LOAN,2021-02-13,B9,OK,N
CA158,C1157,A2157,8716.91,PENDING,LOAN,2022-08-05,B20,OK,Y
CA159,C1158,A2158,48340.24,PENDING,CURRENT,2020-11-27,B13,OK,Y
CA160,C1159,A2159,14937.99,PENDING,LOAN,2023-09-14,B9,OK,N
CA161,C1160,A2160,,INACTIVE,SAVINGS,2021-01-12,B6,OK,Y
CA162,C1161,A2161,24919.66,PENDING,CURRENT,2020-12-10,B20,OK,Y
CA163,C1162,A2162,13241.6,PENDING,LOAN,2024-01-16,B1,OK,N
CA164,C1163,A2163,39940.19,INACTIVE,LOAN,2025-03-22,B6,OK,N
