employee_id,customer_id,account_id,amount,status,type,date,branch,remarks,flag
EM1,C1000,A2000,,PENDING,CURRENT,2020-11-07,B15,,Y
EM2,C1001,A2001,43128.55,PENDING,CURRENT,2023-04-11,B1,OK,Y
EM3,C1002,A2002,30360.19,INACTIVE,LOAN,2020-01-08,B17,OK,N
EM4,C1003,A2003,36073.21,PENDING,CURRENT,2023-07-31,B18,OK,Y
EM5,C1004,A2004,29816.69,ACTIVE,SAVINGS,2023-10-28,B15,OK,Y
EM6,C1005,A2005,40066.35,INACTIVE,CURRENT,2020-05-26,B2,OK,N
EM7,C1006,A2006,475.7,PENDING,CURRENT,2020-09-11,B15,OK,N
EM8,C1007,A2007,15257.27,INACTIVE,SAVINGS,2021-12-31,B7,OK,Y
EM9,C1008,A2008,8538.41,PENDING,CURRENT,2022-03-26,B4,OK,N
EM10,C1009,A2009,19236.27,ACTIVE,LOAN,2020-01-07,B15,OK,Y
EM11,C1010,A2010,21162.87,INACTIVE,SAVINGS,2022-02-18,B14,OK,N
EM12,C1011,A2011,2661.49,INACTIVE,CURRENT,2020-02-26,B9,OK,Y
EM13,C1012,A2012,34030.3,ACTIVE,SAVINGS,2024-02-13,B12,OK,Y
EM14,C1013,A2013,4288.48,INACTIVE,SAVINGS,2020-01-06,B8,OK,N
EM15,C1014,A2014,5600.97,INACTIVE,LOAN,2022-10-25,B17,OK,Y
EM16,C1015,A2015,30704.36,ACTIVE,LOAN,2023-02-04,B10,OK,Y
EM17,C1016,A2016,26744.15,INACTIVE,LOAN,2021-01-15,B9,OK,N
EM18,C1017,A2017,43767.53,ACTIVE,SAVINGS,2022-01-18,B1,OK,N
EM19,C1018,A2018,26062.92,PENDING,CURRENT,2021-03-23,B13,OK,N
EM20,C1019,A2019,34234.12,ACTIVE,CURRENT,2022-03-05,B8,OK,N
EM21,C1020,A2020,3342.83,PENDING,LOAN,2024-06-07,B8,OK,Y
EM22,C1021,A2021,40811.02,ACTIVE,LOAN,2020-02-13,B17,OK,Y
EM23,C1022,A2022,3202.01,INACTIVE,CURRENT,2021-03-22,B16,OK,N
EM24,C1023,A2023,8777.0,PENDING,LOAN,2021-02-04,B12,OK,N
EM25,C1024,A2024,49539.95,ACTIVE,CURRENT,2025-06-22,B1,OK,Y
EM26,C1025,A2025,10340.27,INACTIVE,LOAN,2021-02-08,B10,,Y
EM27,C1026,A2026,43736.76,ACTIVE,LOAN,2025-05-24,B17,OK,Y
EM28,C1027,A2027,10604.45,PENDING,CURRENT,2021-09-21,B6,OK,Y
EM29,C1028,A2028,17057.7,ACTIVE,LOAN,2022-08-24,B19,OK,Y
EM30,C1029,A2029,27372.38,PENDING,LOAN,2023-02-26,B15,OK,N
EM31,C1030,A2030,30430.16,INACTIVE,SAVINGS,2023-12-12,B9,OK,Y
EM32,C1031,A2031,29071.08,ACTIVE,CURRENT,2023-03-27,B17,OK,N
EM33,C1032,A2032,33796.06,INACTIVE,CURRENT,2023-01-13,B16,OK,N
EM34,C1033,A2033,39906.32,INACTIVE,LOAN,2022-02-18,B1,OK,Y
EM35,C1034,A2034,39315.39,INACTIVE,CURRENT,2021-12-09,B10,OK,Y
EM36,C1035,A2035,30571.13,ACTIVE,SAVINGS,2024-01-08,B14,OK,Y
EM37,C1036,A2036,7572.84,PENDING,SAVINGS,2023-11-12,B16,OK,N
EM38,C1037,A2037,47162.16,INACTIVE,SAVINGS,2022-12-16,B15,OK,Y
EM39,C1038,A2038,19824.37,INACTIVE,SAVINGS,2022-08-29,B3,OK,Y
EM40,C1039,A2039,6317.81,INACTIVE,SAVINGS,2023-08-07,B7,OK,Y
EM41,C1040,A2040,,INACTIVE,LOAN,2025-01-08,B9,OK,N
EM42,C1041,A2041,12899.37,INACTIVE,SAVINGS,2021-02-16,B14,OK,Y
EM43,C1042,A2042,29223.53,INACTIVE,LOAN,2020-03-23,B2,OK,Y
EM44,C1043,A2043,12085.31,ACTIVE,CURRENT,2024-03-31,B18,OK,N
EM45,C1044,A2044,46716.87,PENDING,LOAN,2023-07-20,B15,OK,Y
EM46,C1045,A2045,15088.8,PENDING,LOAN,2023-05-25,B3,OK,N
EM47,C1046,A2046,26118.4,INACTIVE,LOAN,2022-07-18,B5,OK,N
EM48,C1047,A2047,33204.53,PENDING,LOAN,2022-03-11,B15,OK,N
EM49,C1048,A2048,25528.55,INACTIVE,SAVINGS,2020-09-10,B14,OK,Y
EM50,C1049,A2049,36627.5,ACTIVE,LOAN,2023-11-15,B15,OK,N
EM51,C1050,A2050,36447.04,INACTIVE,CURRENT,2022-09-19,B4,,N
EM52,C1051,A2051,39905.87,INACTIVE,CURRENT,2020-11-19,B11,OK,N
EM53,C1052,A2052,44004.27,PENDING,CURRENT,2022-09-21,B9,OK,N
EM54,C1053,A2053,9386.66,PENDING,SAVINGS,2022-03-05,B20,OK,Y
EM55,C1054,A2054,38667.03,PENDING,LOAN,2024-09-11,B16,OK,N
EM56,C1055,A2055,19352.09,PENDING,SAVINGS,2021-08-30,B13,OK,Y
EM57,C1056,A2056,35545.07,INACTIVE,LOAN,2024-11-21,B20,OK,Y
EM58,C1057,A2057,26885.65,INACTIVE,SAVINGS,2023-04-20,B2,OK,N
EM59,C1058,A2058,47979.8,INACTIVE,SAVINGS,2021-11-03,B1,OK,N
EM60,C1059,A2059,16512.33,PENDING,CURRENT,2021-10-02,B20,OK,Y
EM61,C1060,A2060,19113.8,PENDING,SAVINGS,2020-06-10,B2,OK,N
EM62,C1061,A2061,24497.68,ACTIVE,SAVINGS,2024-09-04,B3,OK,N
EM63,C1062,A2062,7423.3,PENDING,LOAN,2023-03-27,B19,OK,Y
EM64,C1063,A2063,5254.62,INACTIVE,LOAN,2020-07-16,B5,OK,N
EM65,C1064,A2064,36496.53,ACTIVE,SAVINGS,2025-03-04,B10,OK,Y
EM66,C1065,A2065,36448.34,PENDING,SAVINGS,2024-11-29,B4,OK,Y
EM67,C1066,A2066,26210.49,ACTIVE,SAVINGS,2020-07-13,B14,OK,Y
EM68,C1067,A2067,15559.55,PENDING,CURRENT,2020-07-01,B16,OK,Y
EM69,C1068,A2068,45637.21,PENDING,CURRENT,2024-05-17,B5,OK,N
EM70,C1069,A2069,35792.21,ACTIVE,LOAN,2024-06-04,B13,OK,N
EM71,C1070,A2070,41556.97,INACTIVE,CURRENT,2025-03-03,B5,OK,N
EM72,C1071,A2071,49362.07,ACTIVE,SAVINGS,2021-06-26,B7,OK,N
EM73,C1072,A2072,26508.62,PENDING,SAVINGS,2025-03-27,B18,OK,N
EM74,C1073,A2073,8915.16,PENDING,SAVINGS,2025-02-16,B1,OK,Y
EM75,C1074,A2074,40595.49,ACTIVE,LOAN,2023-11-28,B6,OK,Y
EM76,C1075,A2075,28264.9,PENDING,LOAN,2023-12-03,B16,,Y
EM77,C1076,A2076,49140.68,PENDING,LOAN,2020-08-07,B8,OK,Y
EM78,C1077,A2077,18266.42,PENDING,CURRENT,2022-04-06,B11,OK,N
EM79,C1078,A2078,47141.89,INACTIVE,CURRENT,2020-05-15,B19,OK,N
EM80,C1079,A2079,26669.44,PENDING,SAVINGS,2022-12-21,B9,OK,Y
EM81,C1080,A2080,,INACTIVE,LOAN,2024-02-03,B20,OK,N
EM82,C1081,A2081,8907.76,PENDING,LOAN,2025-01-25,B17,OK,N
EM83,C1082,A2082,11990.3,INACTIVE,SAVINGS,2022-02-21,B11,OK,N
EM84,C1083,A2083,31680.61,ACTIVE,LOAN,2024-08-29,B16,OK,Y
EM85,C1084,A2084,41641.05,PENDING,SAVINGS,2021-06-05,B11,OK,N
EM86,C1085,A2085,25061.28,ACTIVE,CURRENT,2020-07-15,B15,OK,N
EM87,C1086,A2086,5221.64,INACTIVE,SAVINGS,2023-11-04,B13,OK,N
